G23,De baldosa monolítica ,,Revestimiento de pisos,TRUE,TRUE,TRUE,TRUE
G24,De piezas en grandes dimensiones,,Revestimiento de pisos,TRUE,TRUE,TRUE,TRUE
G25,De plaqueta de gres,,Revestimiento de pisos,TRUE,TRUE,TRUE,TRUE
G27,De piedra laja,,Revestimiento de pisos,TRUE,TRUE,TRUE,TRUE
G29,Cerámica con mortero,,Revestimiento de pisos,TRUE,TRUE,TRUE,TRUE
G291,Cerámica con pegamento,,Revestimiento de pisos,TRUE,TRUE,TRUE,TRUE
G31,De portland,,Zócalos,TRUE,TRUE,TRUE,TRUE
G32,De monolítico,,Zócalos,TRUE,TRUE,TRUE,TRUE
G33,De mármol,,Zócalos,TRUE,TRUE,TRUE,TRUE
G34,De madera,,Zócalos,TRUE,TRUE,TRUE,TRUE
G37,Zócalo de cerámica o gres,,Zócalos,TRUE,TRUE,TRUE,TRUE
G41,De baldosa de portland o monolítica,,Escaleras y replanes,TRUE,TRUE,TRUE,TRUE
G42,De pedregullín lavado,,Escaleras y replanes,TRUE,TRUE,TRUE,TRUE
G43,De portland lustrado,,Escaleras y replanes,TRUE,TRUE,TRUE,TRUE
G44,De plaqueta de gres o cerámica,,Escaleras y replanes,TRUE,TRUE,TRUE,TRUE
G45,De mármol,,Escaleras y replanes,TRUE,TRUE,TRUE,TRUE
G46,De piedra laja,,Escaleras y replanes,TRUE,TRUE,TRUE,TRUE
G47,Escalones prefabricados,,Escaleras y replanes,TRUE,TRUE,TRUE,TRUE
G51,Portland lustrado,,Umbrales y antepechos,TRUE,TRUE,TRUE,TRUE
G52,Baldosa de portland,,Umbrales y antepechos,TRUE,TRUE,TRUE,TRUE
G53,Baldosa monolítica,,Umbrales y antepechos,TRUE,TRUE,TRUE,TRUE
G54,Plaquetas de gres,,Umbrales y antepechos,TRUE,TRUE,TRUE,TRUE
G55,Mármol,,Umbrales y antepechos,TRUE,TRUE,TRUE,TRUE
G56,Antepechos hormigón prefabricado,,Umbrales y antepechos,TRUE,TRUE,TRUE,TRUE
G61,De baldosa de portland,,Veredas,TRUE,TRUE,TRUE,TRUE
G64,De ladrillo,,Veredas,TRUE,TRUE,TRUE,TRUE
G66,De pedregullín lavado,,Veredas,TRUE,TRUE,TRUE,TRUE
G67,De lajota,,Veredas,TRUE,TRUE,TRUE,TRUE
G68,Baldosas de monolítico lavado,,Veredas,TRUE,TRUE,TRUE,TRUE
H10,De ducheros,,Impermeabilización de muros,TRUE,TRUE,TRUE,TRUE
H11,Horizontal con mortero e hidrófugo,,Impermeabilización de muros,TRUE,TRUE,TRUE,TRUE
H12,Mortero cementicio impermeable (tipo sikatop seal),,Impermeabilización de muros,TRUE,TRUE,TRUE,TRUE
H13,Colocación de geodren y/o geotextil,,Impermeabilización de muros,TRUE,TRUE,TRUE,TRUE
